Designator,Package,Mid X,Mid Y,Rotation
,"CP_EIA-7343-31_Kemet-D",,,180.0
,"SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile",,,-90.0
,"AYZ0202AGRLC",,,90.0
,"SOT-23",,,180.0
,"R_Array_Convex_4x0603",,,-90.0
,"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",,,-90.0
,"LQFP-48_7x7mm_P0.5mm",,,-90.0
,"SOT-223-3_TabPin2",,,-180.0
,"SOIC-16W_7.5x10.3mm_P1.27mm",,,-90.0
,"SOT-23-6",,,-90.0
,"IDC-Header_2x04_P2.54mm_Vertical",,,-90.0
,"PinHeader_1x05_P2.54mm_Vertical",,,-90.0
,"PinHeader_1x02_P2.54mm_Vertical",,,-90.0
,"SOIC-8_3.9x4.9mm_P1.27mm",,,-90
,"DIP-6_W7.62mm",,,-90
,"TO-252-2",,,-180
,"Potentiometer_Bourns_3224W_Vertical",,,-180
,"QSOP-16_3.9x4.9mm_P0.635mm",,,-90
,"SMDIP-4_W9.53mm",,,-90
,"Converter_DCDC_Aimtec_AM1LS_SMD",,,-90
,"MSOP-10_3x3mm_P0.5mm",,,-90
,"LQFP-144_20x20mm_P0.5mm",,,-90
,"LQFP-100_14x14mm_P0.5mm",,,-90
,"SOIC-16_3.9x9.9mm_P1.27mm",,,-90
,"KLS2-EDR-5.08-02P-4",,,90
,"IDC-Header_2x05_P2.54mm_Vertical",,,-90
,"Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm",,,-90
,"LED_D3.0mm",,,-180
,"PinSocket_1x02_P2.54mm_Vertical",,,-90
,"PinSocket_1x05_P2.54mm_Vertical",,,-90
,"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",,,-90
